板块,细分领域,股票代码,股票名称,推荐理由,配置比例,风险等级,评分,选股逻辑
AI产业链-算力硬件,AI芯片,688041,海光信息,国产CPU/GPU龙头；AI算力核心；国产替代受益,8%,中,95,业绩+政策+景气度
AI产业链-算力硬件,AI芯片,688256,寒武纪,AI芯片设计龙头；云端+边缘全覆盖；与华为合作,8%,高,90,技术创新+政策导向
AI产业链-算力硬件,AI芯片,002371,北方华创,半导体设备龙头；国产替代加速；受益AI投资,8%,中,92,龙头效应+供需格局
AI产业链-算力硬件,光模块CPO,300308,中际旭创,全球光模块龙头；CPO技术领先；800G升级受益,6%,中,94,技术创新+订单前瞻
AI产业链-算力硬件,光模块CPO,300502,新易盛,光模块第二梯队；CPO布局；海外客户优质,6%,中,88,业绩优先+龙头效应
AI产业链-算力硬件,服务器,000977,浪潮信息,AI服务器龙头；阿里云主要供应商；订单饱满,6%,中,93,订单前瞻+龙头效应
AI产业链-算力硬件,服务器,603019,中科曙光,高性能计算；百度云供应商；国产算力平台,6%,中,90,政策导向+业绩优先
AI产业链-算力硬件,液冷设备,002837,英维克,液冷技术领先；AI数据中心必需；订单高增长,6%,中,91,技术创新+景气度跟踪
AI产业链-算力硬件,液冷设备,002151,北斗星通,导航+液冷双主业；军工+AI双受益,6%,中,85,业绩优先+供需格局
AI产业链-算力硬件,PCB,002463,沪电股份,高端PCB龙头；服务器PCB占比高；AI算力受益,6%,中,89,业绩优先+订单前瞻
AI产业链-算力硬件,PCB,002916,深南电路,PCB+封装基板；技术领先；客户优质,6%,中,90,技术创新+龙头效应
AI产业链-算力硬件,存储,603986,兆易创新,存储芯片龙头；NOR Flash领先；国产替代,6%,中,91,政策导向+龙头效应
AI产业链-算力硬件,存储,301308,江波龙,存储模组龙头；SSD+内存；AI存储需求受益,6%,中,87,业绩优先+景气度跟踪
AI产业链-云服务,IDC,300383,光环新网,AWS中国合作伙伴；北京核心IDC资源；云计算受益,10%,中,90,供需格局+龙头效应
AI产业链-云服务,IDC,603881,数据港,阿里云核心供应商；定制化IDC；长期合同保障,10%,中,91,订单前瞻+业绩优先
AI产业链-云服务,云计算,600845,宝信软件,宝武集团信息化；工业互联网+云；AI+钢铁,10%,低,88,业绩优先+龙头效应
AI产业链-AI应用,AI语音视频,002230,科大讯飞,AI语音龙头；智能视频；教育+医疗应用,10%,中,92,技术创新+政策导向
AI产业链-AI应用,AI办公,688111,金山办公,WPS办公软件；AI入口；订阅制高增长,10%,中,93,龙头效应+业绩优先
AI产业链-AI应用,AI游戏,002555,三七互娱,手游龙头；AI+游戏最早应用；出海强,10%,中,85,业绩优先+技术创新
AI产业链-AI应用,AI游戏,002624,完美世界,游戏+影视；AI赋能内容创作,10%,中,82,业绩优先+技术创新
储能/能源,储能系统,300274,阳光电源,全球储能龙头；光伏+储能双轮驱动；海外高增长,10%,中,95,业绩优先+景气度跟踪+龙头效应
储能/能源,储能系统,300750,宁德时代,全球动力电池龙头；储能业务高增；技术领先,10%,中,96,龙头效应+技术创新+业绩优先
储能/能源,储能系统,688063,派能科技,户用储能龙头；海外市场强；盈利能力优,10%,中,90,业绩优先+供需格局
储能/能源,固态电池,002460,赣锋锂业,锂资源+电池；固态电池布局；上游资源优势,5%,中,88,供需格局+技术创新
储能/能源,电力设备,600406,国电南瑞,电网自动化龙头；特高压+储能；国网背景,5%,低,87,政策导向+龙头效应
储能/能源,电力设备,300140,中环股份,光伏硅片+半导体；N型硅片领先,5%,中,86,技术创新+业绩优先
黄金/资源,黄金,000975,银泰黄金,金矿+银矿；资源储量丰富；低成本优势,12%,中,90,供需格局+安全边际
黄金/资源,黄金,600988,赤峰黄金,黄金龙头；海内外矿山；产量持续增长,12%,中,91,业绩优先+供需格局
黄金/资源,白银,603212,白银有色,白银龙头；资源+冶炼；受益白银牛市,12%,中,92,供需格局+安全边际
黄金/资源,白银,000603,盛达资源,白银民营龙头；成本控制优；白银弹性大,12%,中,90,供需格局+业绩优先
黄金/资源,稀土,600111,北方稀土,全球稀土龙头；资源垄断；新能源+军工需求,8%,中,93,政策导向+供需格局+龙头效应
黄金/资源,有色,603993,洛阳钼业,铜钴镍钼多金属；全球布局；受益新能源,8%,中,89,业绩优先+供需格局
金融,银行,600036,招商银行,零售银行龙头；资产质量优；高股息,6%,低,90,龙头效应+安全边际
金融,银行,002142,宁波银行,城商行龙头；盈利能力强；成长性好,6%,低,89,业绩优先+龙头效应
金融,券商,300059,东方财富,互联网券商；流量优势；市场活跃度受益,4%,中,87,业绩优先+交易结构
金融,券商,600030,中信证券,券商龙头；综合实力强；机构业务优,4%,低,88,龙头效应+业绩优先
消费,白酒,600519,贵州茅台,白酒龙头；品牌护城河深；抗通胀,5%,低,92,龙头效应+安全边际
消费,零售,HK03690,美团,即时零售龙头；外卖+到店双强；AI投入大,5%,中,90,业绩优先+景气度跟踪
医药,CXO,603259,药明康德,CXO全球龙头；订单拐点；估值底部,5%,中,85,业绩优先+安全边际
医药,创新药,300122,智飞生物,疫苗龙头；HPV疫苗独家；业绩确定性强,5%,中,86,业绩优先+龙头效应
其他,军工,000768,中航西飞,军用飞机龙头；订单饱满；国防现代化,5%,中,87,政策导向+订单前瞻
其他,汽车,002594,比亚迪,新能源车全球龙头；技术+品牌双强；出海加速,5%,中,94,业绩优先+龙头效应+技术创新
